icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
9956,"WERDEL, Thomas Harold",House,Republican,Right,0.52,-0.186,CA,1905,1966,greatest,West,19,15,0.789473684,81,82,2,X,X,X,X,X,X,X,0.875,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2347,"DARROW, George Potter",House,Republican,Center,0.441,-0.505,PA,1859,1943,progressive,North,33,26,0.787878788,64,76,2,0.692307692,X,0.85,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9527,"TURPIN, Charles Murray",House,Republican,Center,0.144,-0.626,PA,1878,1946,missionary,North,14,11,0.785714286,71,74,1,0.785714286,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10459,"YOUNGBLOOD, Harold Francis",House,Republican,Center,0.464,-0.37,MI,1907,1983,greatest,Midwest,14,11,0.785714286,80,80,1,X,X,X,X,X,X,0.785714286,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4922,"JENNER, William Ezra",Senate,Republican,Right,0.572,-0.011,IN,1908,1985,greatest,Midwest,139,109,0.784172662,78,85,7,X,X,X,X,X,X,0.333333333,0.84,0.833333333,0.8,0.805555556,0.888888889,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6991,"NYE, Gerald Prentice",Senate,Republican,Right,0.246,0.969,ND,1892,1971,lost,Midwest,143,112,0.783216783,69,78,5,1,0.777777778,0.918032787,0.58974359,0.578947368,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4218,"HAWKS, Charles, Jr.",House,Republican,Center,0.462,-0.228,WI,1899,1960,lost,Midwest,32,25,0.78125,76,76,1,X,X,0.78125,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5422,"LAMBERTSON, William Purnell",House,Republican,Right,0.371,0.62,KS,1880,1957,missionary,Midwest,100,78,0.78,71,78,5,0.75,0.909090909,0.838709677,0.827586207,0.529411765,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6689,"MORITZ, Theodore Leo",House,Democrat,Left,-0.452,-0.892,PA,1892,1982,lost,North,9,7,0.777777778,74,74,1,0.777777778,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7072,"O'MALLEY, Thomas David Patrick",House,Democrat,Left,-0.2,-0.512,WI,1903,1979,greatest,Midwest,18,14,0.777777778,73,75,2,0.666666667,0.888888889,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
834,"BOLLES, Stephen",House,Republican,Center,0.355,-0.481,WI,1866,1941,missionary,Midwest,40,31,0.775,76,77,2,X,X,0.78125,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
