"","bioname","79","80","81","82","83","84","85","86","87","88","89","90","iso_num","int_num","total_vote","iso_per","wing","nominate_dim1","nominate_dim2","session_no"
"95","SIMPSON, Milward Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,10820,10820,NA,84,17,101,0.831683168316832,"Center",0.77,-0.562,2
"96","SMITH, Howard Alexander",8635,8635,8635,8635,8635,8635,8635,NA,NA,NA,NA,NA,10,152,162,0.0617283950617284,"Center",0.159,-0.873,7
"97","SMITH, Margaret Chase",NA,NA,8666,8666,8666,8666,8666,8666,8666,8666,8666,8666,86,308,394,0.218274111675127,"Center",0.1,-0.378,10
"98","STANFILL, William Abner",8835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0.142857142857143,"Center",0.229,-0.44,1
"99","TAFT, Robert Alphonso",9152,9152,9152,9152,9152,NA,NA,NA,NA,NA,NA,NA,34,36,70,0.485714285714286,"Center",0.364,-0.692,5
"100","THOMAS, John",9298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,7,0.857142857142857,"Right",0.429,0.41,1
"101","THURMOND, James Strom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9369,9369,74,37,111,0.666666666666667,"Right",0.391,0.227,2
"102","THYE, Edward John",NA,9374,9374,9374,9374,9374,9374,NA,NA,NA,NA,NA,9,139,148,0.0608108108108108,"Center",0.125,-0.337,6
"103","TOBEY, Charles William",9401,9401,9401,9401,9401,NA,NA,NA,NA,NA,NA,NA,6,52,58,0.103448275862069,"Center",0.06,-0.692,5
"104","TOWER, John Goodwin",NA,NA,NA,NA,NA,NA,NA,NA,10823,10823,10823,10823,146,67,213,0.685446009389671,"Center",0.444,-0.07,4
"105","VANDENBERG, Arthur Hendrick",9604,9604,9604,9604,NA,NA,NA,NA,NA,NA,NA,NA,3,48,51,0.0588235294117647,"Center",0.207,-0.172,4
"106","WATKINS, Arthur Vivian",NA,9865,9865,9865,9865,9865,9865,NA,NA,NA,NA,NA,38,95,133,0.285714285714286,"Center",0.312,-0.224,6
"107","WELKER, Herman",NA,NA,NA,9930,9930,9930,NA,NA,NA,NA,NA,NA,48,24,72,0.666666666666667,"Right",0.493,0.343,3
"108","WHERRY, Kenneth Spicer",9998,9998,9998,9998,NA,NA,NA,NA,NA,NA,NA,NA,48,17,65,0.738461538461539,"Right",0.544,0.221,4
"109","WHITE, Wallace Humphrey, Jr.",10047,10047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,21,26,0.192307692307692,"Center",0.323,-0.313,2
"110","WILEY, Alexander",10110,10110,10110,10110,10110,10110,10110,10110,10110,NA,NA,NA,25,218,243,0.102880658436214,"Center",0.169,-0.4,9
"111","WILLIAMS, John James",NA,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,277,120,397,0.697732997481108,"Center",0.603,-0.442,11
"112","WILLIS, Raymond Eugene",10205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,16,0.875,"Center",0.447,-0.035,1
"113","WILSON, George Allison",10221,10221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,23,0.521739130434783,"Right",0.278,0.311,2
"114","YOUNG, Milton Ruben",10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,243,154,397,0.612090680100756,"Right",0.172,0.187,12
